date,temp,temp_max,temp_min
1/1/2012,8.9,12.8,5
1/2/2012,6.7,10.6,2.8
1/3/2012,9.45,11.7,7.2
1/4/2012,8.9,12.2,5.6
1/5/2012,5.85,8.9,2.8
1/6/2012,3.3,4.4,2.2
1/7/2012,5,7.2,2.8
1/8/2012,6.4,10,2.8
1/9/2012,7.2,9.4,5
1/10/2012,3.35,6.1,0.6
1/11/2012,2.5,6.1,-1.1
1/12/2012,2.2,6.1,-1.7
1/13/2012,1.1,5,-2.8
1/14/2012,2.5,4.4,0.6
1/15/2012,-1.1,1.1,-3.3
1/16/2012,-0.55,1.7,-2.8
1/17/2012,1.65,3.3,0
1/18/2012,-1.4,0,-2.8
1/19/2012,-1.95,-1.1,-2.8
1/20/2012,3.05,7.2,-1.1
1/21/2012,5.8,8.3,3.3
1/22/2012,4.45,6.7,2.2
1/23/2012,4.7,8.3,1.1
1/24/2012,6.1,10,2.2
1/25/2012,6.65,8.9,4.4
1/26/2012,5,8.9,1.1
1/27/2012,2.25,6.7,-2.2
1/28/2012,3.65,6.7,0.6
1/29/2012,6.65,9.4,3.9
1/30/2012,7.2,8.3,6.1
1/31/2012,7.75,9.4,6.1
2/1/2012,6.1,8.9,3.3
2/2/2012,5,8.3,1.7
2/3/2012,8.3,14.4,2.2
2/4/2012,10.3,15.6,5
2/5/2012,7.8,13.9,1.7
2/6/2012,8.9,16.1,1.7
2/7/2012,11.7,15.6,7.8
2/8/2012,7.5,10,5
2/9/2012,9.45,11.1,7.8
2/10/2012,9.75,12.8,6.7
2/11/2012,7.25,8.9,5.6
2/12/2012,6.65,8.3,5
2/13/2012,5.8,7.2,4.4
2/14/2012,3.9,6.7,1.1
2/15/2012,3.9,7.2,0.6
2/16/2012,5.25,7.2,3.3
2/17/2012,7.2,10,4.4
2/18/2012,5.3,6.7,3.9
2/19/2012,4.45,6.7,2.2
2/20/2012,4.75,7.8,1.7
2/21/2012,8.9,10,7.8
2/22/2012,6.4,10,2.8
2/23/2012,5.55,8.3,2.8
2/24/2012,5.55,6.7,4.4
2/25/2012,5,7.2,2.8
2/26/2012,1.95,5,-1.1
2/27/2012,2.25,6.7,-2.2
2/28/2012,3.05,6.7,-0.6
2/29/2012,3.05,5,1.1
3/1/2012,3.6,6.1,1.1
3/2/2012,5.3,6.7,3.9
3/3/2012,9.45,12.2,6.7
3/4/2012,8.65,10.6,6.7
3/5/2012,4.45,7.8,1.1
3/6/2012,3.35,6.7,0
3/7/2012,3.6,8.9,-1.7
3/8/2012,8.1,15.6,0.6
3/9/2012,7.2,9.4,5
3/10/2012,6.65,7.2,6.1
3/11/2012,4.75,6.7,2.8
3/12/2012,4.45,8.3,0.6
3/13/2012,3.1,5.6,0.6
3/14/2012,4.45,7.8,1.1
3/15/2012,8.35,11.1,5.6
3/16/2012,6.4,8.9,3.9
3/17/2012,5.3,10,0.6
3/18/2012,2.2,5,-0.6
3/19/2012,3.05,7.2,-1.1
3/20/2012,5,7.8,2.2
3/21/2012,5,8.9,1.1
3/22/2012,5.85,10,1.7
3/23/2012,6.4,12.2,0.6
3/24/2012,9.15,15,3.3
3/25/2012,7.75,13.3,2.2
3/26/2012,9.45,12.8,6.1
3/27/2012,10.55,14.4,6.7
3/28/2012,8.9,10.6,7.2
3/29/2012,8.05,10,6.1
3/30/2012,7.2,9.4,5
3/31/2012,6.4,10,2.8
4/1/2012,6.65,8.9,4.4
4/2/2012,10.55,16.7,4.4
4/3/2012,7.5,11.7,3.3
4/4/2012,6.7,10.6,2.8
4/5/2012,6.1,9.4,2.8
4/6/2012,7.2,11.1,3.3
4/7/2012,8.9,16.1,1.7
4/8/2012,14.15,21.1,7.2
4/9/2012,13.05,20,6.1
4/10/2012,13.35,17.8,8.9
4/11/2012,9.15,11.1,7.2
4/12/2012,9.75,13.9,5.6
4/13/2012,9.45,15,3.9
4/14/2012,9.45,15.6,3.3
4/15/2012,11.65,16.1,7.2
4/16/2012,10,13.3,6.7
4/17/2012,7.2,10,4.4
4/18/2012,10.25,13.3,7.2
4/19/2012,9.45,13.9,5
4/20/2012,10,13.3,6.7
4/21/2012,12.2,20,4.4
4/22/2012,15.8,23.3,8.3
4/23/2012,15.3,21.7,8.9
4/24/2012,11.95,13.9,10
4/25/2012,12.8,16.7,8.9
4/26/2012,10.3,13.9,6.7
4/27/2012,9.7,13.3,6.1
4/28/2012,12.2,16.1,8.3
4/29/2012,12.25,15.6,8.9
4/30/2012,10,12.8,7.2
5/1/2012,8.9,11.7,6.1
5/2/2012,9.45,13.3,5.6
5/3/2012,9.15,11.1,7.2
5/4/2012,9.15,12.2,6.1
5/5/2012,9.15,13.3,5
5/6/2012,11.4,17.8,5
5/7/2012,15,23.9,6.1
5/8/2012,13.85,18.3,9.4
5/9/2012,10,13.3,6.7
5/10/2012,9.15,14.4,3.9
5/11/2012,11.35,18.3,4.4
5/12/2012,15.55,24.4,6.7
5/13/2012,17.5,25.6,9.4
5/14/2012,19.75,26.7,12.8
5/15/2012,16.9,24.4,9.4
5/16/2012,14.4,19.4,9.4
5/17/2012,12.25,17.8,6.7
5/18/2012,11.7,15.6,7.8
5/19/2012,13.3,19.4,7.2
5/20/2012,13.05,14.4,11.7
5/21/2012,13.35,16.7,10
5/22/2012,10.85,12.8,8.9
5/23/2012,11.65,14.4,8.9
5/24/2012,13.05,17.2,8.9
5/25/2012,15.55,22.2,8.9
5/26/2012,15.55,22.2,8.9
5/27/2012,14.45,17.2,11.7
5/28/2012,13.35,16.7,10
5/29/2012,11.95,16.1,7.8
5/30/2012,15,18.9,11.1
5/31/2012,15,17.8,12.2
6/1/2012,16.4,20,12.8
6/2/2012,14.75,18.9,10.6
6/3/2012,13.3,17.2,9.4
6/4/2012,10.85,12.8,8.9
6/5/2012,10.8,13.3,8.3
6/6/2012,11.1,16.1,6.1
6/7/2012,12.5,16.1,8.9
6/8/2012,11.65,15,8.3
6/9/2012,12.75,17.2,8.3
6/10/2012,14.45,18.9,10
6/11/2012,16.65,23.3,10
6/12/2012,15.55,18.3,12.8
6/13/2012,13.6,16.1,11.1
6/14/2012,13.6,17.2,10
6/15/2012,15.8,22.2,9.4
6/16/2012,18.05,21.1,15
6/17/2012,15.3,18.9,11.7
6/18/2012,13.6,17.2,10
6/19/2012,14.7,19.4,10
6/20/2012,17.2,24.4,10
6/21/2012,17.8,23.9,11.7
6/22/2012,12.8,13.9,11.7
6/23/2012,12.5,15.6,9.4
6/24/2012,14.4,19.4,9.4
6/25/2012,15.25,19.4,11.1
6/26/2012,14.45,18.3,10.6
6/27/2012,15.85,22.8,8.9
6/28/2012,16.95,22.2,11.7
6/29/2012,18.35,21.7,15
6/30/2012,16.65,20,13.3
7/1/2012,16.1,20,12.2
7/2/2012,15.3,18.9,11.7
7/3/2012,14.45,18.3,10.6
7/4/2012,15,20.6,9.4
7/5/2012,17.5,24.4,10.6
7/6/2012,18.05,25,11.1
7/7/2012,19.75,26.7,12.8
7/8/2012,21.35,28.3,14.4
7/9/2012,18.9,25,12.8
7/10/2012,17.5,23.9,11.1
7/11/2012,20.55,27.8,13.3
7/12/2012,19.45,25.6,13.3
7/13/2012,18.6,23.3,13.9
7/14/2012,20,25,15
7/15/2012,16.1,18.9,13.3
7/16/2012,19.7,26.1,13.3
7/17/2012,18.35,21.7,15
7/18/2012,17.75,21.1,14.4
7/19/2012,19.7,25,14.4
7/20/2012,16.65,19.4,13.9
7/21/2012,18.9,23.9,13.9
7/22/2012,16.4,20.6,12.2
7/23/2012,15,18.9,11.1
7/24/2012,17.75,23.3,12.2
7/25/2012,19.75,26.7,12.8
7/26/2012,19.2,25.6,12.8
7/27/2012,16.4,18.9,13.9
7/28/2012,17.75,22.2,13.3
7/29/2012,18.9,22.8,15
7/30/2012,16.35,19.4,13.3
7/31/2012,18.35,22.8,13.9
8/1/2012,18.6,23.9,13.3
8/2/2012,17.75,23.3,12.2
8/3/2012,20,27.2,12.8
8/4/2012,25.3,33.9,16.7
8/5/2012,25.85,33.9,17.8
8/6/2012,21.95,28.3,15.6
8/7/2012,18.05,21.1,15
8/8/2012,18.6,22.2,15
8/9/2012,19.4,24.4,14.4
8/10/2012,18.9,25.6,12.2
8/11/2012,20.8,28.3,13.3
8/12/2012,22.8,30.6,15
8/13/2012,22.8,30.6,15
8/14/2012,21.4,28.9,13.9
8/15/2012,23.9,31.1,16.7
8/16/2012,26.35,34.4,18.3
8/17/2012,24.45,32.8,16.1
8/18/2012,18.05,21.7,14.4
8/19/2012,19.15,23.3,15
8/20/2012,20.3,25.6,15
8/21/2012,18.3,23.3,13.3
8/22/2012,17.75,22.2,13.3
8/23/2012,17.5,21.1,13.9
8/24/2012,16.1,22.2,10
8/25/2012,18.9,26.1,11.7
8/26/2012,16.65,21.1,12.2
8/27/2012,18.6,23.9,13.3
8/28/2012,17.5,22.8,12.2
8/29/2012,18.05,22.8,13.3
8/30/2012,17.8,22.8,12.8
8/31/2012,16.4,22.2,10.6
9/1/2012,16.15,21.7,10.6
9/2/2012,15.55,21.1,10
9/3/2012,17.8,22.8,12.8
9/4/2012,17.75,24.4,11.1
9/5/2012,18.9,26.1,11.7
9/6/2012,21.35,28.3,14.4
9/7/2012,22.75,32.2,13.3
9/8/2012,19.15,25,13.3
9/9/2012,16.4,18.9,13.9
9/10/2012,15.85,20,11.7
9/11/2012,14.45,20,8.9
9/12/2012,16.1,22.2,10
9/13/2012,19.75,27.8,11.7
9/14/2012,18.6,26.1,11.1
9/15/2012,16.65,22.2,11.1
9/16/2012,16.9,24.4,9.4
9/17/2012,19.75,27.8,11.7
9/18/2012,19.75,27.8,11.7
9/19/2012,17.8,23.9,11.7
9/20/2012,14.7,19.4,10
9/21/2012,14.45,16.1,12.8
9/22/2012,15.55,19.4,11.7
9/23/2012,14.7,19.4,10
9/24/2012,15.55,21.1,10
9/25/2012,15.25,19.4,11.1
9/26/2012,14.4,19.4,9.4
9/27/2012,16.4,22.8,10
9/28/2012,18.6,25,12.2
9/29/2012,16.4,20.6,12.2
9/30/2012,14.45,21.1,7.8
10/1/2012,16.1,23.3,8.9
10/2/2012,13.9,17.8,10
10/3/2012,13.35,18.9,7.8
10/4/2012,13.6,18.9,8.3
10/5/2012,15.3,21.7,8.9
10/6/2012,15.85,23.9,7.8
10/7/2012,15.85,23.9,7.8
10/8/2012,14.45,21.1,7.8
10/9/2012,12.5,16.1,8.9
10/10/2012,10.25,12.2,8.3
10/11/2012,10.55,13.9,7.2
10/12/2012,11.4,13.9,8.9
10/13/2012,13.9,15.6,12.2
10/14/2012,15.55,17.8,13.3
10/15/2012,14.15,17.2,11.1
10/16/2012,12.2,16.1,8.3
10/17/2012,10.25,14.4,6.1
10/18/2012,12.25,17.8,6.7
10/19/2012,12.2,15,9.4
10/20/2012,8.6,11.1,6.1
10/21/2012,8.05,11.7,4.4
10/22/2012,5.55,7.8,3.3
10/23/2012,8.35,11.1,5.6
10/24/2012,8.9,11.7,6.1
10/25/2012,9.2,11.7,6.7
10/26/2012,9.15,11.1,7.2
10/27/2012,11.9,14.4,9.4
10/28/2012,12.2,14.4,10
10/29/2012,12.8,15.6,10
10/30/2012,13.6,15,12.2
10/31/2012,13.35,15.6,11.1
11/1/2012,12.8,15,10.6
11/2/2012,12.8,15,10.6
11/3/2012,13.35,15.6,11.1
11/4/2012,15.3,17.8,12.8
11/5/2012,11.4,15,7.8
11/6/2012,9.75,12.8,6.7
11/7/2012,8.05,12.2,3.9
11/8/2012,5.55,10,1.1
11/9/2012,5,8.9,1.1
11/10/2012,3.6,7.8,-0.6
11/11/2012,5,8.9,1.1
11/12/2012,9.45,12.8,6.1
11/13/2012,9.45,11.1,7.8
11/14/2012,8.05,11.1,5
11/15/2012,6.1,9.4,2.8
11/16/2012,5.8,9.4,2.2
11/17/2012,9.15,12.2,6.1
11/18/2012,8.05,10,6.1
11/19/2012,10.8,13.3,8.3
11/20/2012,9.15,11.1,7.2
11/21/2012,6.1,8.3,3.9
11/22/2012,5.85,8.9,2.8
11/23/2012,7.75,9.4,6.1
11/24/2012,6.4,8.9,3.9
11/25/2012,4.7,8.3,1.1
11/26/2012,5.55,9.4,1.7
11/27/2012,5.85,10,1.7
11/28/2012,5.8,9.4,2.2
11/29/2012,10.3,12.8,7.8
11/30/2012,11.4,15,7.8
12/1/2012,10.8,13.3,8.3
12/2/2012,7.75,8.3,7.2
12/3/2012,8.3,9.4,7.2
12/4/2012,9.45,11.7,7.2
12/5/2012,6.65,8.9,4.4
12/6/2012,6.65,7.2,6.1
12/7/2012,5.55,7.8,3.3
12/8/2012,5,6.7,3.3
12/9/2012,4.75,6.7,2.8
12/10/2012,6.4,7.2,5.6
12/11/2012,6.7,7.8,5.6
12/12/2012,5.55,6.7,4.4
12/13/2012,5.25,7.2,3.3
12/14/2012,3.6,6.1,1.1
12/15/2012,2.5,4.4,0.6
12/16/2012,5,6.7,3.3
12/17/2012,5,8.3,1.7
12/18/2012,2.25,3.9,0.6
12/19/2012,5,8.3,1.7
12/20/2012,3.9,7.2,0.6
12/21/2012,3.3,8.3,-1.7
12/22/2012,6.1,8.3,3.9
12/23/2012,5.25,7.2,3.3
12/24/2012,4.2,5.6,2.8
12/25/2012,4.2,5.6,2.8
12/26/2012,5,6.7,3.3
12/27/2012,5.55,7.8,3.3
12/28/2012,6.1,8.3,3.9
12/29/2012,4.15,5,3.3
12/30/2012,2.2,4.4,0
12/31/2012,1.1,3.3,-1.1
1/1/2013,1.1,5,-2.8
1/2/2013,2.5,6.1,-1.1
1/3/2013,2.5,6.7,-1.7
1/4/2013,6.1,10,2.2
1/5/2013,5.55,6.7,4.4
1/6/2013,5,7.2,2.8
1/7/2013,7.2,10,4.4
1/8/2013,8.65,11.7,5.6
1/9/2013,5.85,10,1.7
1/10/2013,1.35,3.3,-0.6
1/11/2013,0,2.8,-2.8
1/12/2013,-0.55,2.8,-3.9
1/13/2013,-1.1,2.2,-4.4
1/14/2013,0.55,3.3,-2.2
1/15/2013,3.05,6.7,-0.6
1/16/2013,1.1,6.1,-3.9
1/17/2013,0.55,3.9,-2.8
1/18/2013,1.1,3.3,-1.1
1/19/2013,0.25,1.1,-0.6
1/20/2013,1.35,3.3,-0.6
1/21/2013,0.25,2.2,-1.7
1/22/2013,0.8,3.3,-1.7
1/23/2013,4.7,7.2,2.2
1/24/2013,4.15,7.2,1.1
1/25/2013,6.7,10.6,2.8
1/26/2013,6.1,8.3,3.9
1/27/2013,4.75,5.6,3.9
1/28/2013,4.7,6.1,3.3
1/29/2013,6.65,8.3,5
1/30/2013,7.8,8.9,6.7
1/31/2013,8.3,9.4,7.2
2/1/2013,8.35,11.7,5
2/2/2013,4.45,6.1,2.8
2/3/2013,5.85,8.9,2.8
2/4/2013,8.65,10.6,6.7
2/5/2013,8.35,10,6.7
2/6/2013,8.35,10.6,6.1
2/7/2013,6.35,9.4,3.3
2/8/2013,5,7.8,2.2
2/9/2013,6.35,8.3,4.4
2/10/2013,5.3,8.9,1.7
2/11/2013,6.35,8.3,4.4
2/12/2013,9.15,11.1,7.2
2/13/2013,8.3,9.4,7.2
2/14/2013,7.5,9.4,5.6
2/15/2013,9.15,13.3,5
2/16/2013,7.5,11.1,3.9
2/17/2013,6.9,9.4,4.4
2/18/2013,5.85,7.8,3.9
2/19/2013,6.15,10.6,1.7
2/20/2013,4.45,7.8,1.1
2/21/2013,5.3,6.7,3.9
2/22/2013,5.85,7.8,3.9
2/23/2013,6.95,10,3.9
2/24/2013,6.95,8.9,5
2/25/2013,6.95,10.6,3.3
2/26/2013,6.4,8.9,3.9
2/27/2013,7.2,10,4.4
2/28/2013,9.2,11.7,6.7
3/1/2013,13.05,15,11.1
3/2/2013,9.45,13.9,5
3/3/2013,6.65,11.1,2.2
3/4/2013,6.65,13.3,0
3/5/2013,7.75,9.4,6.1
3/6/2013,6.1,7.2,5
3/7/2013,8.6,12.2,5
3/8/2013,6.95,11.7,2.2
3/9/2013,6.95,12.8,1.1
3/10/2013,5.85,7.8,3.9
3/11/2013,8.35,10.6,6.1
3/12/2013,11.4,12.8,10
3/13/2013,10.55,11.7,9.4
3/14/2013,10.55,11.7,9.4
3/15/2013,11.65,14.4,8.9
3/16/2013,7.5,10.6,4.4
3/17/2013,6.4,8.9,3.9
3/18/2013,7.8,11.7,3.9
3/19/2013,7.25,12.8,1.7
3/20/2013,7.75,11.1,4.4
3/21/2013,6.1,10,2.2
3/22/2013,5,9.4,0.6
3/23/2013,5.55,10,1.1
3/24/2013,6.4,12.2,0.6
3/25/2013,10.55,16.7,4.4
3/26/2013,11.4,16.7,6.1
3/27/2013,10.25,13.3,7.2
3/28/2013,12.2,16.1,8.3
3/29/2013,13.05,18.3,7.8
3/30/2013,12.8,20,5.6
3/31/2013,13.65,20.6,6.7
4/1/2013,12.75,17.2,8.3
4/2/2013,11.4,13.9,8.9
4/3/2013,12.25,16.7,7.8
4/4/2013,12.2,14.4,10
4/5/2013,11.95,13.9,10
4/6/2013,9.7,12.2,7.2
4/7/2013,6.65,8.3,5
4/8/2013,9.7,13.3,6.1
4/9/2013,9.15,12.2,6.1
4/10/2013,11.95,15,8.9
4/11/2013,9.45,12.2,6.7
4/12/2013,6.1,7.8,4.4
4/13/2013,6.95,10.6,3.3
4/14/2013,8.6,12.8,4.4
4/15/2013,9.15,13.9,4.4
4/16/2013,8.6,13.9,3.3
4/17/2013,9.45,15,3.9
4/18/2013,9.2,11.7,6.7
4/19/2013,11.35,13.3,9.4
4/20/2013,11.1,13.9,8.3
4/21/2013,9.45,12.2,6.7
4/22/2013,10.55,16.1,5
4/23/2013,10.85,17.8,3.9
4/24/2013,13.6,21.1,6.1
4/25/2013,14.2,21.7,6.7
4/26/2013,14.45,20.6,8.3
4/27/2013,12.25,13.9,10.6
4/28/2013,12.2,15,9.4
4/29/2013,10.3,13.9,6.7
4/30/2013,8.6,12.8,4.4
5/1/2013,10.8,18.3,3.3
5/2/2013,13.65,20.6,6.7
5/3/2013,15.55,21.7,9.4
5/4/2013,18.05,25,11.1
5/5/2013,20.3,28.9,11.7
5/6/2013,21.4,30.6,12.2
